mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,car_name,origin_2,origin_3
18.0,8,307.0,130.0,3504.0,12.0,70,chevrolet chevelle malibu,False,False
15.0,8,350.0,165.0,3693.0,11.5,70,buick skylark 320,False,False
18.0,8,318.0,150.0,3436.0,11.0,70,plymouth satellite,False,False
16.0,8,304.0,150.0,3433.0,12.0,70,amc rebel sst,False,False
17.0,8,302.0,140.0,3449.0,10.5,70,ford torino,False,False
15.0,8,429.0,198.0,4341.0,10.0,70,ford galaxie 500,False,False
14.0,8,454.0,220.0,4354.0,9.0,70,chevrolet impala,False,False
14.0,8,440.0,215.0,4312.0,8.5,70,plymouth fury iii,False,False
14.0,8,455.0,225.0,4425.0,10.0,70,pontiac catalina,False,False
15.0,8,390.0,190.0,3850.0,8.5,70,amc ambassador dpl,False,False
15.0,8,383.0,170.0,3563.0,10.0,70,dodge challenger se,False,False
14.0,8,340.0,160.0,3609.0,8.0,70,plymouth 'cuda 340,False,False
15.0,8,400.0,150.0,3761.0,9.5,70,chevrolet monte carlo,False,False
14.0,8,455.0,225.0,3086.0,10.0,70,buick estate wagon (sw),False,False
24.0,4,113.0,95.0,2372.0,15.0,70,toyota corona mark ii,False,True
22.0,6,198.0,95.0,2833.0,15.5,70,plymouth duster,False,False
18.0,6,199.0,97.0,2774.0,15.5,70,amc hornet,False,False
21.0,6,200.0,85.0,2587.0,16.0,70,ford maverick,False,False
27.0,4,97.0,88.0,2130.0,14.5,70,datsun pl510,False,True
26.0,4,97.0,46.0,1835.0,20.5,70,volkswagen 1131 deluxe sedan,True,False
25.0,4,110.0,87.0,2672.0,17.5,70,peugeot 504,True,False
24.0,4,107.0,90.0,2430.0,14.5,70,audi 100 ls,True,False
25.0,4,104.0,95.0,2375.0,17.5,70,saab 99e,True,False
26.0,4,121.0,113.0,2234.0,12.5,70,bmw 2002,True,False
21.0,6,199.0,90.0,2648.0,15.0,70,amc gremlin,False,False
10.0,8,360.0,215.0,4615.0,14.0,70,ford f250,False,False
10.0,8,307.0,200.0,4376.0,15.0,70,chevy c20,False,False
11.0,8,318.0,210.0,4382.0,13.5,70,dodge d200,False,False
9.0,8,304.0,193.0,4732.0,18.5,70,hi 1200d,False,False
27.0,4,97.0,88.0,2130.0,14.5,71,datsun pl510,False,True
28.0,4,140.0,90.0,2264.0,15.5,71,chevrolet vega 2300,False,False
25.0,4,113.0,95.0,2228.0,14.0,71,toyota corona,False,True
19.0,6,232.0,100.0,2634.0,13.0,71,amc gremlin,False,False
16.0,6,225.0,105.0,3439.0,15.5,71,plymouth satellite custom,False,False
17.0,6,250.0,100.0,3329.0,15.5,71,chevrolet chevelle malibu,False,False
19.0,6,250.0,88.0,3302.0,15.5,71,ford torino 500,False,False
18.0,6,232.0,100.0,3288.0,15.5,71,amc matador,False,False
14.0,8,350.0,165.0,4209.0,12.0,71,chevrolet impala,False,False
14.0,8,400.0,175.0,4464.0,11.5,71,pontiac catalina brougham,False,False
14.0,8,351.0,153.0,4154.0,13.5,71,ford galaxie 500,False,False
14.0,8,318.0,150.0,4096.0,13.0,71,plymouth fury iii,False,False
12.0,8,383.0,180.0,4955.0,11.5,71,dodge monaco (sw),False,False
13.0,8,400.0,170.0,4746.0,12.0,71,ford country squire (sw),False,False
13.0,8,400.0,175.0,5140.0,12.0,71,pontiac safari (sw),False,False
18.0,6,258.0,110.0,2962.0,13.5,71,amc hornet sportabout (sw),False,False
22.0,4,140.0,72.0,2408.0,19.0,71,chevrolet vega (sw),False,False
19.0,6,250.0,100.0,3282.0,15.0,71,pontiac firebird,False,False
18.0,6,250.0,88.0,3139.0,14.5,71,ford mustang,False,False
23.0,4,122.0,86.0,2220.0,14.0,71,mercury capri 2000,False,False
28.0,4,116.0,90.0,2123.0,14.0,71,opel 1900,True,False
30.0,4,79.0,70.0,2074.0,19.5,71,peugeot 304,True,False
30.0,4,88.0,76.0,2065.0,14.5,71,fiat 124b,True,False
31.0,4,71.0,65.0,1773.0,19.0,71,toyota corolla 1200,False,True
35.0,4,72.0,69.0,1613.0,18.0,71,datsun 1200,False,True
27.0,4,97.0,60.0,1834.0,19.0,71,volkswagen model 111,True,False
26.0,4,91.0,70.0,1955.0,20.5,71,plymouth cricket,False,False
24.0,4,113.0,95.0,2278.0,15.5,72,toyota corona hardtop,False,True
25.0,4,97.5,80.0,2126.0,17.0,72,dodge colt hardtop,False,False
23.0,4,97.0,54.0,2254.0,23.5,72,volkswagen type 3,True,False
20.0,4,140.0,90.0,2408.0,19.5,72,chevrolet vega,False,False
21.0,4,122.0,86.0,2226.0,16.5,72,ford pinto runabout,False,False
